dep_epci,siren_epci,nom_complet,nj_epci2019,fisc_epci2019,nb_com_2019,ptot_epci_2019,pmun_epci_2019
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727
01,240100610,CC de la Côtière à Montluel,CC,FPU,9,25112,24732
01,240100750,CA du Pays de Gex,CA,FPU,27,95187,93027
01,240100800,CC de Miribel et du Plateau,CC,FPU,6,23888,23507
01,240100883,CC de la Plaine de l'Ain,CC,FPU,53,78956,77249
01,240100891,CC du Pays Bellegardien (CCPB),CC,FPU,12,22203,21684
02,200040426,CC du Val de l'Oise,CC,FA,32,16433,16158
02,200043495,CA du Pays de Laon,CA,FPU,38,44505,43259
02,200071769,CC Picardie des Châteaux,CC,FPU,36,17759,17362
02,200071785,CA Chauny Tergnier La Fère,CA,FPU,48,57077,55732
02,200071892,CA du Saint-Quentinois,CA,FPU,39,83579,81489
02,200071983,CC Thiérache Sambre et Oise,CC,FA,36,17475,17060
02,200071991,CC Retz en Valois,CC,FPU,54,30628,29594
02,200072031,CA de la Région de Château-Thierry,CA,FPU,87,55382,54092
02,240200444,CC de la Thiérache du Centre,CC,FPU,68,27564,26531
02,240200469,CC du Pays de la Serre,CC,FPU,42,14879,14621
02,240200477,CA GrandSoissons Agglomération,CA,FPU,28,53504,52143
02,240200493,CC du Pays du Vermandois,CC,FPU,54,31952,31298
02,240200501,CC du Val de l'Aisne,CC,FA,58,20681,20302
02,240200519,CC du Canton d'Oulchy le Château,CC,FA,26,5842,5705
02,240200576,CC de la Champagne Picarde,CC,FPU,46,21418,20940
02,240200584,CC du Canton de Charly sur Marne,CC,FA,21,16035,15744
02,240200592,CC du Chemin des Dames,CC,FA,30,5534,5457
02,240200600,CC des Trois Rivières,CC,FPU,26,22079,21510
02,240200634,CC des Portes de la Thiérache,CC,FPU,30,7177,7056
03,200071082,CA Montluçon Communauté,CA,FPU,21,64249,62414
03,200071140,CA Moulins Communauté,CA,FPU,44,67887,65451
03,200071363,CA Vichy Communauté,CA,FPU,39,84770,82461
03,200071389,CC Saint-Pourçain Sioule Limagne,CC,FPU,60,34877,33949
03,200071470,CC Entr'Allier Besbre et Loire,CC,FPU,44,25763,25151
03,200071496,CC du Bocage Bourbonnais,CC,FPU,25,14123,13797
03,200071512,CC Commentry Montmarault Néris Communauté,CC,FPU,33,26995,26180
03,240300491,CC du Pays de Lapalisse,CC,FPU,14,8700,8471
03,240300558,CC du Pays de Tronçais,CC,FPU,15,7625,7458
03,240300566,CC du Val de Cher,CC,FPU,7,5659,5542
03,240300657,CC du Pays d'Huriel,CC,FPU,14,7747,7596
04,200034700,CA Durance-Lubéron-Verdon Agglomération,CA,FPU,25,63138,61520
04,200067437,CA Provence-Alpes-Agglomération,CA,FPU,46,48951,47298
04,200068625,"CC Alpes-Provence-Verdon ""Sources de lumière""",CC,FPU,41,11614,11403
04,200068765,CC du Sisteronais-Buëch,CC,FPU,60,25576,24859
04,200071025,CC Haute-Provence-Pays de Banon,CC,FPU,21,9897,9709
04,200071033,CC Jabron-Lure-Vançon-Durance,CC,FPU,14,5453,5266
04,200072304,CC Vallée de l'Ubaye - Serre-Ponçon,CC,FPU,13,8189,7790
04,240400440,CC Pays Forcalquier et Montagne de Lure,CC,FPU,13,9903,9698
05,200067320,CC Serre-Ponçon Val d'Avance,CC,FPU,16,7710,7516
05,200067445,CC Buëch-Dévoluy,CC,FPU,20,9636,9306
05,200067452,CC du Guillestrois et du Queyras,CC,FPU,15,8187,7987
05,200067742,CC Serre-Ponçon,CC,FPU,17,16799,16105
05,200067825,CA Gap-Tallard-Durance,CA,FPU,17,52378,50322
05,200068096,CC Champsaur-Valgaudemar,CC,FA,25,11474,11065
05,240500439,CC du Briançonnais,CC,FPU,13,21210,20590
05,240500462,CC du Pays des Ecrins,CC,FPU,8,6900,6689
06,200030195,Métropole Nice Côte d'Azur,METRO,FPU,49,544819,538769
06,200039857,CA du Pays de Grasse,CA,FPU,23,103907,101795
06,200039915,CA Cannes Pays de Lérins,CA,FPU,5,160385,158455
06,200039931,CC Alpes d'Azur,CC,FPU,34,9802,9662
06,240600551,CA de la Riviera Française,CA,FPU,15,73563,72506
06,240600585,CA de Sophia Antipolis,CA,FPU,24,179146,175868
06,240600593,CC du Pays des Paillons,CC,FPU,13,26917,26649
07,200016905,CC du Pays de Lamastre,CC,FPU,11,6816,6633
07,200039808,CC des Gorges de l'Ardèche,CC,FPU,20,15410,15020
07,200039824,CC Ardèche des Sources et Volcans,CC,FPU,16,9852,9627
07,200039832,CC Pays des Vans en Cévennes,CC,FPU,15,9419,9193
07,200041366,CC Rhône Crussol,CC,FPU,13,34667,33854
07,200041465,CC Val Eyrieux,CC,FPU,29,13198,12743
07,200071405,CC Ardèche Rhône Coiron,CC,FPU,15,22919,22346
07,200071413,CA Privas Centre Ardèche,CA,FPU,42,44955,43606
07,200072007,CC de la Montagne d'Ardèche,CC,FPU,28,5046,4957
07,200072015,CA Annonay Rhône Agglo,CA,FPU,29,49955,48528
07,200073096,CA Arche Agglo,CA,FPU,41,58684,57085
07,200073245,CC du Bassin d'Aubenas,CC,FPU,28,41173,39708
07,240700302,CC du Pays Beaume-Drobie,CC,FPU,19,8912,8730
07,240700617,CC Val de Ligne,CC,FPU,11,6341,6138
07,240700716,CC du Val d'Ay,CC,FPU,8,6039,5906
07,240700815,CC Berg et Coiron,CC,FPU,13,7841,7587
07,240700864,CC du Rhône aux Gorges de l'Ardèche,CC,FPU,9,19389,18955
08,200041622,CC Ardennes Thiérache,CC,FPU,37,10171,9956
08,200041630,CA Ardenne Métropole,CA,FPU,58,126950,123082
08,200043156,CC du Pays Réthelois,CC,FPU,65,30678,29876
08,200067759,CC Vallées et Plateau d'Ardenne,CC,FPU,31,25911,25375
08,240800821,"CC Ardenne, Rives de Meuse",CC,FA,19,27990,27333
08,240800847,CC des Portes du Luxembourg,CC,FPU,50,20778,20384
08,240800862,CC des Crêtes Préardennaises,CC,FPU,94,22530,21968
08,240800920,CC de l'Argonne Ardennaise,CC,FPU,95,17996,17397
09,200044469,CC du Pays de Mirepoix,CC,FPU,33,10873,10519
09,200066223,CC Arize Lèze,CC,FPU,27,10908,10732
09,200066231,CC des Portes d'Ariège Pyrénées,CC,FA,35,41004,39464
09,200066363,CC de la Haute Ariège,CC,FPU,52,7440,7170
09,200067791,CA Pays Foix-Varilhes,CA,FPU,42,32990,31813
09,200067940,CC Couserans-Pyrénées,CC,FPU,94,30819,29825
09,240900431,CC du Pays de Tarascon,CC,FPU,20,8629,8498
09,240900464,CC du Pays d'Olmes,CC,FPU,24,15542,15046
10,200000545,CC des Portes de Romilly sur Seine,CC,FA,6,19030,18606
10,200006716,CC du Nogentais,CC,FA,23,17118,16821
10,200040137,CC des Lacs de Champagne,CC,FPU,43,9757,9529
10,200066892,CC de Vendeuvre-Soulaines,CC,FPU,38,7990,7790
10,200069003,CC du Barséquanais en Champagne,CC,FA,53,19581,19051
10,200069250,CA Troyes Champagne Métropole,CA,FPU,81,174658,170145
10,200070126,CC Seine et Aube,CC,FA,25,10357,10148
10,200071041,CC du Chaourçois et du Val d'Armance,CC,FA,42,10835,10599
10,200071777,"CC d'Arcis, Mailly, Ramerupt",CC,FA,39,11781,11490
10,241000223,"CC Forêts, Lacs, Terres en Champagne",CC,FPU,15,7004,6894
10,241000405,CC de la Région de Bar sur Aube,CC,FA,27,11817,11440
10,241000447,CC du Pays d'Othe,CC,FA,14,8029,7905
10,241000488,CC de l'Orvin et de l'Ardusson,CC,FPU,25,8682,8492
11,200035707,CC Piège Lauragais Malepère,CC,FPU,38,16267,15697
11,200035715,CA Carcassonne Agglo,CA,FPU,81,114651,111452
11,200035855,CC Castelnaudary Lauragais Audois,CC,FPU,43,27281,26250
11,200035863,"CC Région Lézignanaise, Corbières et Minervois",CC,FPU,54,33763,33209
11,200042463,CC de la Montagne Noire,CC,FA,23,6031,5867
11,200043776,CC Pyrénées audoises,CC,FPU,61,14435,14080
11,200071926,CC du Limouxin,CC,FPU,77,29425,28466
11,241100593,CA Le Grand Narbonne,CA,FPU,37,130164,127530
12,200067064,CC Decazeville Communauté,CC,FPU,12,19553,18950
12,200067155,"CC Saint Affricain, Roquefort, Sept Vallons",CC,FPU,14,14627,13787
12,200067163,"CC Monts, Rance et Rougier",CC,FPU,23,6605,6336
12,200067171,"CC Aubrac, Carladez et Viadène",CC,FPU,21,10531,10279
12,200067478,CC Comtal Lot et Truyère,CC,FPU,21,19651,19165
12,200068484,CC des Causses à l'Aubrac,CC,FPU,17,15004,14536
12,200068831,CC Pays Ségali,CC,FPU,23,18544,17924
12,200069383,CC du Grand Villefranchois,CC,FPU,29,28669,27486
12,241200187,CA Rodez Agglomération,CA,FPU,8,58526,55345
12,241200542,CC du Réquistanais,CC,FPU,11,5588,5376
12,241200567,CC de Millau Grands Causses,CC,FPU,15,30790,29820
12,241200625,CC du Pays Rignacois,CC,FA,8,5730,5492
12,241200641,CC Conques-Marcillac,CC,FPU,12,12227,11855
12,241200658,CC du Pays de Salars,CC,FA,9,8048,7849
12,241200674,CC du Plateau de Montbazens,CC,FA,13,6376,6208
12,241200765,CC de Lévézou Pareloup,CC,FPU,10,5581,5426
12,241200807,CC Aveyron Bas Ségala Viaur,CC,FPU,7,5776,5623
12,241200906,CC Larzac et Vallées,CC,FPU,16,5520,5403
12,241200914,CC de la Muse et des Raspes du Tarn,CC,FPU,13,5595,5485
13,200035087,CA Terre de Provence,CA,FPU,13,59870,58855
13,200054807,Métropole d'Aix-Marseille-Provence,METRO,FPU,92,1898950,1873707
13,241300375,CC Vallée des Baux-Alpilles (CC VBA),CC,FPU,10,28222,27649
13,241300417,CA d'Arles-Crau-Camargue-Montagnette,CA,FPU,6,86533,85180
14,200065563,CC Normandie-Cabourg-Pays d'Auge,CC,FPU,39,31847,31268
14,200065589,CC Val ès Dunes,CC,FA,18,18124,17901
14,200065597,CU Caen la Mer,CU,FPU,47,271472,265466
14,200066710,CC Cingal-Suisse Normande,CC,FPU,42,24474,24064
14,200066728,CC Vallées de l'Orne et de l'Odon,CC,FPU,23,25377,25007
14,200066801,CC Isigny-Omaha Intercom,CC,FPU,59,27278,26835
14,200066827,CC du Pays de Honfleur-Beuzeville,CC,FPU,23,28383,27760
14,200068799,CC Intercom de la Vire au Noireau,CC,FPU,17,49410,47786
14,200069516,CC Seulles Terre et Mer,CC,FPU,28,17273,16940
14,200069524,CC Pré-Bocage Intercom,CC,FPU,27,25180,24779
14,200069532,CA Lisieux Normandie,CA,FPU,53,76969,74829
14,241400415,CC Coeur Côte Fleurie,CC,FPU,12,21555,20997
14,241400514,CC du Pays de Falaise,CC,FPU,58,28902,28224
14,241400555,CC de Bayeux Intercom,CC,FPU,36,30840,30121
14,241400860,CC Coeur de Nacre,CC,FPU,12,24442,23878
14,241400878,CC Terre d'Auge,CC,FPU,44,19770,19231
15,200066637,CC Hautes Terres,CC,FPU,35,11970,11617
15,200066660,CC de Saint-Flour,CC,FPU,53,24692,23688
15,200066678,CC de la Châtaigneraie Cantalienne,CC,FPU,50,22004,21402
15,241500230,CA du Bassin d'Aurillac,CA,FPU,25,56066,53535
15,241500255,CC du Pays Gentiane,CC,FPU,17,7063,6853
15,241500271,CC du Pays de Mauriac,CC,FPU,11,7146,6792
15,241501055,CC Sumène - Artense,CC,FPU,16,8764,8486
15,241501089,CC Cère et Goul en Carladès,CC,FPU,11,5043,4936
15,241501139,CC du Pays de Salers,CC,FPU,27,8822,8616
16,200029734,CC des 4B Sud Charente,CC,FPU,40,20676,20071
16,200043016,CC Val de Charente,CC,FPU,32,14651,14076
16,200068914,CC La Rochefoucauld - Porte du Périgord,CC,FPU,27,22340,21881
16,200070282,CC Lavalette Tude Dronne,CC,FPU,50,18548,18077
16,200070514,CA du Grand Cognac,CA,FPU,57,71882,69775
16,200071827,CA du Grand Angoulême,CA,FPU,38,147950,141498
16,200072023,CC Coeur de Charente,CC,FA,51,22539,22139
16,200072049,CC de Charente Limousine,CC,FA,58,36786,35630
16,241600303,CC du Rouillacais,CC,FPU,13,10325,10141
17,200036473,CA de Saintes,CA,FPU,36,62280,59716
17,200041499,CC Aunis Atlantique,CC,FPU,20,29981,29560
17,200041523,CC de la Haute Saintonge,CC,FA,129,70100,67989
17,200041614,CC Aunis Sud,CC,FPU,24,32182,31496
17,200041689,CC Vals de Saintonge,CC,FPU,110,54269,52563
17,200041762,CA Rochefort Océan,CA,FPU,25,65068,63288
17,241700434,CA de La Rochelle,CA,FPU,28,173780,168692
17,241700459,CC de l'Ile de Ré,CC,FPU,10,17792,17455
17,241700517,CC Charente-Arnoult-Coeur de Saintonge,CC,FPU,18,17727,17241
17,241700624,CC de l'Ile d'Oléron,CC,FPU,8,22763,22324
17,241700632,CC de Gémozac et de la Saintonge Viticole,CC,FPU,16,14500,14187
17,241700640,CA Royan Atlantique,CA,FPU,33,84241,82277
17,241700699,CC du Bassin de Marennes,CC,FPU,6,15775,15403
18,200000933,CC Sauldre et Sologne,CC,FA,13,14318,13971
18,200007177,CC Pays de Nérondes,CC,FPU,12,5074,4943
18,200011781,CC Portes du Berry entre Loire et Val d'Aubois,CC,FPU,12,10065,9896
18,200027076,CC Arnon Boischaut Cher,CC,FA,18,8371,8180
18,200032514,CC Berry-Loire-Vauvise,CC,FA,14,5757,5647
18,200033207,CC Vierzon-Sologne-Berry,CC,FPU,11,34718,33929
18,200036135,CC Coeur de France,CC,FA,19,19260,18673
18,200049484,CC Berry Grand Sud,CC,FPU,32,12264,12039
18,200066330,CC Terres du Haut Berry,CC,FPU,30,26487,25980
18,200069227,CC Pays Fort Sancerrois Val de Loire,CC,FA,36,19203,18747
18,200070571,CC Coeur de Berry,CC,FA,12,8576,8387
18,241800325,CC les Villages de la Forêt,CC,FA,5,5370,5238
18,241800374,CC la Septaine,CC,FPU,15,10950,10757
18,241800424,CC le Dunois,CC,FA,17,7926,7769
18,241800432,CC les Trois Provinces,CC,FA,11,5325,5237
18,241800457,CC Fercher Pays Florentais,CC,FA,9,11987,11745
18,241800507,CA Bourges Plus,CA,FPU,17,106729,103304
19,200043172,CA du Bassin de Brive,CA,FPU,48,110698,107831
19,200066603,CC du Pays de Lubersac-Pompadour,CC,FPU,12,7763,7619
19,200066645,CC Vézère-Monédières-Millesources,CC,FPU,19,5207,5042
19,200066744,CC Haute-Corrèze Communauté,CC,FPU,71,34986,33652
19,200066751,CC Xaintrie Val'Dordogne,CC,FPU,30,12013,11611
19,200066769,CC Midi Corrézien,CC,FPU,34,13472,13130
19,241900133,CC de Ventadour - Egletons - Monédières,CC,FPU,20,11184,10215
19,241927201,CA Tulle Agglo,CA,FPU,43,46122,44358
19,241927243,CC du Pays d'Uzerche,CC,FPU,12,9937,9730
21,200000925,CC de la Plaine Dijonnaise,CC,FPU,23,22549,22067
21,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",CA,FPU,53,53919,52379
21,200039055,CC Ouche et Montagne,CC,FPU,32,10896,10666
21,200039063,"CC Forêts, Seine et Suzon",CC,FPU,25,7015,6902
21,200069540,CC Norge et Tille,CC,FPU,14,16125,15790
21,200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,CC,FPU,55,30545,29798
21,200070902,CC Auxonne Pontailler Val de Saône,CC,FPU,35,23768,23406
21,200070910,CC Tille et Venelle,CC,FPU,18,5079,4980
21,200071017,CC des Terres d'Auxois,CC,FPU,76,16540,15903
21,200071173,CC du Pays Arnay Liernais,CC,FA,34,7432,7256
21,200071207,CC de Pouilly en Auxois/Bligny sur Ouche,CC,FA,47,8910,8564
21,200072825,CC Mirebellois et Fontenois,CC,FPU,32,12825,12617
21,242100154,CC des Vallées de la Tille et de l'Ignon,CC,FPU,23,13707,13519
21,242100410,Dijon Métropole,METRO,FPU,24,257933,251897
21,242101434,CC du Pays Châtillonnais,CC,FA,107,21021,20165
21,242101442,CC de Saulieu,CC,FA,12,5582,5410
21,242101459,CC du Pays d'Alésia et de la Seine,CC,FPU,24,7763,7610
21,242101491,CC du Montbardois,CC,FPU,33,11259,10986
21,242101509,CC Rives de Saône,CC,FPU,38,21141,20705
22,200065928,CA Lannion-Trégor Communauté,CA,FPU,57,103730,99903
22,200067460,CC Loudéac Communauté - Bretagne Centre,CC,FPU,41,52949,51352
22,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,CA,FPU,57,76381,73703
22,200068989,CA Dinan Agglomération,CA,FPU,64,99639,96891
22,200069086,CC Leff Armor Communauté,CC,FPU,27,31934,31258
22,200069391,CA Lamballe Terre et Mer,CA,FPU,38,69133,67297
22,200069409,CA Saint-Brieuc Armor Agglomération,CA,FPU,32,156652,151517
22,242200715,CC du Kreiz-Breizh (CCKB),CC,FPU,23,19356,18520
23,200034825,CA du Grand Guéret,CA,FPU,25,30387,29213
23,200041556,CC Portes de la Creuse en Marche,CC,FPU,16,6781,6655
23,200044014,CC Creuse Grand Sud,CC,FPU,26,12725,12128
23,200067189,CC Creuse Sud Ouest,CC,FPU,43,14489,13835
23,200067510,CC Monts et Vallées Ouest Creuse,CC,FPU,43,25822,25119
23,200067544,CC Creuse Confluence,CC,FPU,42,17242,16893
23,200067593,CC Marche et Combraille en Aquitaine,CC,FPU,50,14092,13723
24,200027217,CC Sarlat-Périgord Noir,CC,FPU,13,16849,16152
24,200034197,CC de Montaigne Montravel et Gurson,CC,FA,18,12273,12033
24,200034833,CC des Bastides Dordogne-Périgord,CC,FPU,47,19194,18803
24,200040095,CC Isle Vern Salembre en Périgord,CC,FPU,16,19487,19085
24,200040384,CC Isle Double Landais,CC,FPU,9,12105,11947
24,200040392,CA Le Grand Périgueux,CA,FPU,43,107359,103565
24,200040400,CC du Pays Ribéracois,CC,FPU,44,20337,19769
24,200040830,CC du Pays de Fénelon,CC,FPU,19,9961,9686
24,200040889,CC de Portes Sud Périgord,CC,FA,25,8488,8345
24,200041051,CC Vallée de la Dordogne et Forêt Bessède,CC,FA,20,9358,9106
24,200041150,CC du Terrassonnais en Périgord Noir Thenon Hautefort,CC,FPU,37,22993,22489
24,200041168,CC de la Vallée de l'Homme,CC,FPU,26,16125,15725
24,200041440,CC de Domme- Villefranche du Périgord,CC,FPU,23,8913,8705
24,200041572,CC Dronne et Belle,CC,FPU,16,11565,11337
24,200069094,CC Isle et Crempse en Périgord,CC,FPU,25,14584,14299
24,200070647,CA Bergeracoise,CA,FPU,38,62830,60844
24,200071819,CC du Périgord Nontronnais,CC,FPU,28,15700,15319
24,242400752,CC Périgord-Limousin,CC,FPU,22,14694,14291
24,242400935,CC du Pays de Saint Aulaye,CC,FA,6,6795,6644
24,242401024,CC Isle-Loue-Auvézère en Périgord,CC,FPU,28,14145,13811
25,200023075,CC du Pays de Maîche,CC,FPU,43,19123,18686
25,200065647,CA Pays de Montbéliard Agglomération,CA,FPU,72,142947,139989
25,200068070,CC Loue-Lison,CC,FPU,74,25843,25268
25,200068294,CC des Deux Vallées Vertes,CC,FPU,54,16632,16293
25,200069565,CC des Lacs et Montagnes du Haut-Doubs,CC,FA,32,16124,15721
25,242500320,CC de Montbenoit,CC,FA,16,7749,7586
25,242500338,CC du Grand Pontarlier,CC,FPU,10,28052,26976
25,242500361,CA du Grand Besançon,CA,FPU,68,198540,193187
25,242504116,CC du Val de Morteau,CC,FPU,8,21181,20463
25,242504181,CC des Portes du Haut-Doubs,CC,FPU,47,26478,25869
25,242504355,CC du Plateau de Russey,CC,FPU,17,6835,6478
25,242504371,CC du Pays de Sancey-Belleherbe,CC,FPU,27,5594,5488
25,242504447,CC du Doubs Baumois,CC,FPU,58,16552,16167
25,242504488,CC Altitude 800,CC,FPU,11,6615,6278
25,242504496,CC du Plateau de Frasne et du Val de Drugeon (CFD),CC,FPU,10,6067,5949
26,200040459,CA Montélimar Agglomération,CA,FPU,26,66778,64813
26,200040491,CC Porte de Dromardèche,CC,FPU,35,48240,46656
26,200040509,CC du Crestois et de Pays de Saillans Coeur de Drôme,CC,FPU,15,15608,15134
26,200042901,CC Drôme Sud Provence,CC,FA,14,43196,41965
26,200067767,CC du Royans-Vercors,CC,FPU,18,10023,9671
26,200068229,CC des Baronnies en Drôme Provençale,CC,FA,67,21849,21173
26,200068781,CA Valence Romans Agglo,CA,FPU,54,225881,220156
26,242600252,CC du Val de Drôme,CC,FPU,30,31522,30844
26,242600492,CC Dieulefit-Bourdeaux,CC,FPU,21,9715,9383
26,242600534,CC du Diois,CC,FPU,50,11920,11507
27,200035665,CA Seine Eure,CA,FPU,43,76026,74192
27,200065787,CC de Pont-Audemer / Val de Risle,CC,FPU,32,34014,33226
27,200066017,CC Lieuvin Pays d'Auge,CC,FA,51,20873,20503
27,200066405,CC Roumois Seine,CC,FPU,40,40707,40050
27,200066413,CC Intercom Bernay Terres de Normandie,CC,FPU,75,57513,55712
27,200066462,CC Interco Normandie Sud Eure,CC,FPU,41,40465,39134
27,200070142,CC Lyons Andelle,CC,FPU,30,21185,20870
27,200071454,CA Evreux Portes de Normandie,CA,FPU,74,116242,111800
27,200071843,CC du Vexin Normand,CC,FPU,39,33047,32342
27,200072312,CA Seine Normandie Agglomération,CA,FPU,61,85544,82771
27,242700276,CC du Pays de Conches,CC,FA,25,19193,18724
27,242700607,CC du Pays du Neubourg,CC,FA,41,23054,22380
27,242700623,CC Eure-Madrie-Seine,CC,FPU,17,29712,29093
28,200006971,CC du Perche,CC,FPU,20,19444,18704
28,200033181,CA Chartres Métropole,CA,FPU,66,140716,136375
